Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
47.1,100,0.5,0.8,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.974
48.1,100,0.5,0.8,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.988
49.1,100,0.5,1.0,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.825
50.1,100,0.5,1.0,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,2.117
51.1,100,0.5,1.0,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.059
52.1,100,0.5,1.2,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.814
53.1,100,0.5,1.2,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,2.011
54.1,100,0.5,1.2,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.011
#############################
LinearSVC: 18 different tests
Iteration,Max_Iter,Reg_Param,Aggregation_Depth,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,0.1,2,1.0,0.1716,0.8284,0.0,0.0749,0.9413,24.894
2.1,50,0.1,3,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.404
3.1,50,0.1,4,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.603
4.1,50,0.3,2,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.521
5.1,50,0.3,3,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.475
6.1,50,0.3,4,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.364
7.1,50,0.5,2,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.934
8.1,50,0.5,3,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.587
9.1,50,0.5,4,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.407
