Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
10.6,entropy,5,32,0.9355,0.1019,0.8981,0.0645,0.0854,0.9125,0.631
10.7,entropy,5,32,0.9182,0.0779,0.9221,0.0818,0.0799,0.9201,0.537
10.8,entropy,5,32,0.8921,0.0904,0.9096,0.1079,0.0981,0.9002,0.547
10.9,entropy,5,32,0.9453,0.0813,0.9187,0.0547,0.0677,0.9327,0.437
10.10,entropy,5,32,0.9351,0.0875,0.9125,0.0649,0.0764,0.9236,0.543
11.1,entropy,5,64,0.9264,0.1157,0.8843,0.0736,0.0915,0.9072,0.527
11.2,entropy,5,64,0.9248,0.0657,0.9343,0.0752,0.0704,0.9297,0.526
11.3,entropy,5,64,0.8633,0.0775,0.9225,0.1367,0.1082,0.8927,0.57
11.4,entropy,5,64,0.9079,0.0645,0.9355,0.0921,0.0782,0.9222,0.715
11.5,entropy,5,64,0.9315,0.129,0.871,0.0685,0.0997,0.9014,0.577
11.6,entropy,5,64,0.9322,0.135,0.865,0.0678,0.1068,0.8898,0.667
11.7,entropy,5,64,0.9177,0.0839,0.9161,0.0823,0.0831,0.9169,0.565
11.8,entropy,5,64,0.8921,0.0904,0.9096,0.1079,0.0981,0.9002,0.53
11.9,entropy,5,64,0.9535,0.0656,0.9344,0.0465,0.0558,0.9445,0.576
11.10,entropy,5,64,0.9346,0.0932,0.9068,0.0654,0.0796,0.9205,0.6
12.1,entropy,5,128,0.9162,0.1026,0.8974,0.0838,0.0915,0.9048,0.607
12.2,entropy,5,128,0.9675,0.0884,0.9116,0.0325,0.063,0.9363,0.632
12.3,entropy,5,128,0.936,0.0909,0.9091,0.064,0.0784,0.921,0.643
12.4,entropy,5,128,0.92,0.0637,0.9363,0.08,0.0717,0.9285,0.606
12.5,entropy,5,128,0.9658,0.0968,0.9032,0.0342,0.0664,0.9347,0.579
12.6,entropy,5,128,0.9583,0.1056,0.8944,0.0417,0.0783,0.9188,0.601
12.7,entropy,5,128,0.9068,0.0789,0.9211,0.0932,0.0863,0.9136,0.571
12.8,entropy,5,128,0.8741,0.0867,0.9133,0.1259,0.1044,0.8953,0.721
12.9,entropy,5,128,0.9462,0.0661,0.9339,0.0538,0.0598,0.9403,0.59
12.10,entropy,5,128,0.9295,0.0823,0.9177,0.0705,0.0764,0.9236,0.597
13.1,entropy,6,32,0.95,0.1048,0.8952,0.05,0.0739,0.927,0.671
13.2,entropy,6,32,0.9524,0.0833,0.9167,0.0476,0.0667,0.9328,0.565
13.3,entropy,6,32,0.8955,0.0746,0.9254,0.1045,0.0896,0.9108,0.784
13.4,entropy,6,32,0.9429,0.0958,0.9042,0.0571,0.0782,0.9208,0.632
13.5,entropy,6,32,0.9388,0.1169,0.8831,0.0612,0.0897,0.9113,0.592
13.6,entropy,6,32,0.9055,0.1104,0.8896,0.0945,0.1032,0.8953,0.626
13.7,entropy,6,32,0.9241,0.0774,0.9226,0.0759,0.0767,0.9233,0.678
13.8,entropy,6,32,0.9318,0.0924,0.9076,0.0682,0.0823,0.9137,0.616
13.9,entropy,6,32,0.9528,0.0806,0.9194,0.0472,0.0637,0.9368,0.575
13.10,entropy,6,32,0.9351,0.0875,0.9125,0.0649,0.0764,0.9236,0.63
14.1,entropy,6,64,0.9437,0.1129,0.8871,0.0563,0.081,0.9198,0.597
14.2,entropy,6,64,0.9462,0.0643,0.9357,0.0538,0.0593,0.9405,0.697
14.3,entropy,6,64,0.8889,0.0752,0.9248,0.1111,0.0933,0.9072,0.55
14.4,entropy,6,64,0.9067,0.0764,0.9236,0.0933,0.0847,0.9154,0.739
14.5,entropy,6,64,0.9133,0.1258,0.8742,0.0867,0.1063,0.8943,0.548
14.6,entropy,6,64,0.9106,0.1266,0.8734,0.0894,0.1103,0.8873,0.597
14.7,entropy,6,64,0.9057,0.0909,0.9091,0.0943,0.0927,0.9073,0.586
14.8,entropy,6,64,0.8571,0.0828,0.9172,0.1429,0.1108,0.8903,0.569
14.9,entropy,6,64,0.916,0.0917,0.9083,0.084,0.0876,0.9122,0.561
14.10,entropy,6,64,0.9068,0.0784,0.9216,0.0932,0.086,0.9139,0.681
15.1,entropy,6,128,0.9487,0.1328,0.8672,0.0513,0.088,0.9149,0.595
15.2,entropy,6,128,0.9457,0.0709,0.9291,0.0543,0.063,0.9368,0.63
15.3,entropy,6,128,0.9512,0.0897,0.9103,0.0488,0.0709,0.9283,0.662
15.4,entropy,6,128,0.9315,0.0745,0.9255,0.0685,0.0717,0.928,0.566
15.5,entropy,6,128,0.966,0.0909,0.9091,0.034,0.0631,0.9379,0.616
15.6,entropy,6,128,0.8984,0.1111,0.8889,0.1016,0.1068,0.892,0.722
15.7,entropy,6,128,0.8795,0.0816,0.9184,0.1205,0.1022,0.8975,0.858
15.8,entropy,6,128,0.9403,0.0769,0.9231,0.0597,0.0696,0.9273,0.633
15.9,entropy,6,128,0.9462,0.0661,0.9339,0.0538,0.0598,0.9403,0.735
15.10,entropy,6,128,0.9172,0.0892,0.9108,0.0828,0.086,0.914,0.747
16.1,entropy,7,32,0.9325,0.1074,0.8926,0.0675,0.0845,0.9144,0.59
16.2,entropy,7,32,0.9179,0.0662,0.9338,0.0821,0.0741,0.9261,0.557
16.3,entropy,7,32,0.8889,0.0752,0.9248,0.1111,0.0933,0.9072,0.596
16.4,entropy,7,32,0.8688,0.0612,0.9388,0.1313,0.0977,0.9036,0.611
16.5,entropy,7,32,0.9079,0.1208,0.8792,0.0921,0.1063,0.894,0.639
16.6,entropy,7,32,0.8864,0.1007,0.8993,0.1136,0.1068,0.8928,0.554
16.7,entropy,7,32,0.9187,0.0719,0.9281,0.0813,0.0767,0.9233,0.746
16.8,entropy,7,32,0.8929,0.0852,0.9148,0.1071,0.0949,0.9038,0.59
16.9,entropy,7,32,0.938,0.082,0.918,0.062,0.0717,0.9285,0.579
16.10,entropy,7,32,0.9006,0.085,0.915,0.0994,0.0924,0.9076,0.744
17.1,entropy,7,64,0.9268,0.1083,0.8917,0.0732,0.088,0.9102,0.515
17.2,entropy,7,64,0.9179,0.0662,0.9338,0.0821,0.0741,0.9261,0.622
17.3,entropy,7,64,0.8676,0.0909,0.9091,0.1324,0.1119,0.8886,0.628
17.4,entropy,7,64,0.9067,0.0764,0.9236,0.0933,0.0847,0.9154,0.629
17.5,entropy,7,64,0.9122,0.1373,0.8627,0.0878,0.113,0.8879,0.627
17.6,entropy,7,64,0.8915,0.1118,0.8882,0.1085,0.1103,0.8886,0.731
17.7,entropy,7,64,0.8735,0.0884,0.9116,0.1265,0.1086,0.8911,0.61
17.8,entropy,7,64,0.84,0.0843,0.9157,0.16,0.1203,0.8818,0.657
17.9,entropy,7,64,0.9231,0.0909,0.9091,0.0769,0.0837,0.9163,0.599
17.10,entropy,7,64,0.8848,0.0805,0.9195,0.1152,0.0987,0.9011,0.613
18.1,entropy,7,128,0.9383,0.1066,0.8934,0.0617,0.081,0.9186,0.74
18.2,entropy,7,128,0.9531,0.0704,0.9296,0.0469,0.0593,0.9404,0.661
18.3,entropy,7,128,0.9141,0.0929,0.9071,0.0859,0.0896,0.9101,0.627
18.4,entropy,7,128,0.9195,0.0696,0.9304,0.0805,0.0749,0.9251,0.642
18.5,entropy,7,128,0.9726,0.0903,0.9097,0.0274,0.0598,0.9413,0.657
18.6,entropy,7,128,0.9127,0.1097,0.8903,0.0873,0.0996,0.8987,0.644
18.7,entropy,7,128,0.8639,0.0833,0.9167,0.1361,0.1118,0.8878,0.654
18.8,entropy,7,128,0.9007,0.0743,0.9257,0.0993,0.0854,0.9138,0.659
18.9,entropy,7,128,0.9462,0.0661,0.9339,0.0538,0.0598,0.9403,0.806
18.10,entropy,7,128,0.8944,0.0915,0.9085,0.1056,0.0987,0.9012,0.623
#############################
Random_Forest MLLib: 36 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Num_Trees,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,100,0.9801,0.1278,0.8722,0.0199,0.0704,0.9359,1.01
1.2,gini,5,32,100,0.9917,0.0805,0.9195,0.0083,0.0481,0.9509,1.031
1.3,gini,5,32,100,0.9833,0.0811,0.9189,0.0167,0.0522,0.9466,0.84
1.4,gini,5,32,100,0.9781,0.0824,0.9176,0.0219,0.0554,0.9433,0.848
1.5,gini,5,32,100,0.9783,0.1288,0.8712,0.0217,0.0797,0.9223,0.814
1.6,gini,5,32,100,0.9826,0.1145,0.8855,0.0174,0.0747,0.9213,0.81
1.7,gini,5,32,100,0.9861,0.0947,0.9053,0.0139,0.0575,0.9429,0.812
1.8,gini,5,32,100,1.0,0.0928,0.9072,0.0,0.057,0.9357,0.806
1.9,gini,5,32,100,0.9748,0.1136,0.8864,0.0252,0.0717,0.9302,0.842
1.10,gini,5,32,100,0.9597,0.0909,0.9091,0.0403,0.0669,0.9333,0.871
2.1,gini,5,32,200,0.98,0.1343,0.8657,0.02,0.0739,0.9328,1.095
2.2,gini,5,32,200,0.9917,0.0867,0.9133,0.0083,0.0519,0.9471,1.145
2.3,gini,5,32,200,0.9917,0.0743,0.9257,0.0083,0.0448,0.9541,1.126
2.4,gini,5,32,200,0.9781,0.0824,0.9176,0.0219,0.0554,0.9433,1.143
2.5,gini,5,32,200,0.9712,0.1296,0.8704,0.0288,0.0831,0.9189,1.085
2.6,gini,5,32,200,0.9826,0.1145,0.8855,0.0174,0.0747,0.9213,1.134
2.7,gini,5,32,200,0.9793,0.0952,0.9048,0.0207,0.0607,0.9397,1.255
2.8,gini,5,32,200,0.9841,0.0842,0.9158,0.0159,0.057,0.9372,1.138
2.9,gini,5,32,200,0.9831,0.1128,0.8872,0.0169,0.0677,0.9344,1.125
