Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
3.3,gini,5,64,100,0.88,0.0004,0.9996,0.12,0.0006,0.8741,120.002
3.4,gini,5,64,100,0.8672,0.0004,0.9996,0.1328,0.0006,0.8775,235.992
3.5,gini,5,64,100,0.874,0.0004,0.9996,0.126,0.0006,0.8775,244.295
4.1,gini,5,64,200,0.875,0.0004,0.9996,0.125,0.0006,0.8809,184.628
4.2,gini,5,64,200,0.876,0.0004,0.9996,0.124,0.0006,0.8843,185.016
4.3,gini,5,64,200,0.88,0.0004,0.9996,0.12,0.0006,0.8741,171.033
4.4,gini,5,64,200,0.9091,0.0004,0.9996,0.0909,0.0006,0.8741,224.235
4.5,gini,5,64,200,0.8605,0.0004,0.9996,0.1395,0.0006,0.8774,274.387
5.1,gini,5,128,100,0.8819,0.0004,0.9996,0.1181,0.0006,0.8809,223.258
5.2,gini,5,128,100,0.875,0.0004,0.9996,0.125,0.0006,0.8809,127.744
5.3,gini,5,128,100,0.8819,0.0004,0.9996,0.1181,0.0006,0.8809,172.88
5.4,gini,5,128,100,0.881,0.0004,0.9996,0.119,0.0006,0.8775,260.841
5.5,gini,5,128,100,0.9098,0.0004,0.9996,0.0902,0.0006,0.8775,217.34
6.1,gini,5,128,200,0.875,0.0004,0.9996,0.125,0.0006,0.8809,203.32
6.2,gini,5,128,200,0.888,0.0004,0.9996,0.112,0.0006,0.8775,216.014
6.3,gini,5,128,200,0.874,0.0004,0.9996,0.126,0.0006,0.8775,211.29
6.4,gini,5,128,200,0.9091,0.0004,0.9996,0.0909,0.0006,0.8741,238.483
6.5,gini,5,128,200,0.875,0.0004,0.9996,0.125,0.0006,0.8809,213.266
7.1,gini,6,32,100,0.904,0.0004,0.9996,0.096,0.0005,0.8843,191.011
7.2,gini,6,32,100,0.8952,0.0004,0.9996,0.1048,0.0006,0.8775,272.202
7.3,gini,6,32,100,0.904,0.0004,0.9996,0.096,0.0005,0.8843,222.554
7.4,gini,6,32,100,0.8647,0.0004,0.9996,0.1353,0.0006,0.8911,138.136
