Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
23.3,entropy,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.581
23.4,entropy,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.852
23.5,entropy,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.773
24.1,entropy,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.987
24.2,entropy,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.83
24.3,entropy,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.925
24.4,entropy,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.07
24.5,entropy,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.242
25.1,entropy,6,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.39
25.2,entropy,6,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.397
25.3,entropy,6,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.468
25.4,entropy,6,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.352
25.5,entropy,6,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.548
26.1,entropy,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.22
26.2,entropy,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.096
26.3,entropy,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.201
26.4,entropy,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.133
26.5,entropy,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.486
27.1,entropy,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.689
27.2,entropy,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.617
