Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
27.1,leastAbsoluteError,3,64,50,0.9412,0.1049,0.8951,0.0588,0.084,0.915,25.169
28.1,leastAbsoluteError,3,64,100,0.9417,0.0986,0.9014,0.0583,0.0802,0.919,59.48
29.1,leastAbsoluteError,3,128,50,0.9412,0.1049,0.8951,0.0588,0.084,0.915,27.454
30.1,leastAbsoluteError,3,128,100,0.9412,0.1049,0.8951,0.0588,0.084,0.915,63.395
31.1,leastAbsoluteError,5,32,50,0.9083,0.1268,0.8732,0.0917,0.1107,0.8884,32.052
32.1,leastAbsoluteError,5,32,100,0.9083,0.1268,0.8732,0.0917,0.1107,0.8884,76.473
33.1,leastAbsoluteError,5,64,50,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,36.984
34.1,leastAbsoluteError,5,64,100,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,89.065
35.1,leastAbsoluteError,5,128,50,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,33.935
36.1,leastAbsoluteError,5,128,100,0.925,0.1127,0.8873,0.075,0.0954,0.9037,83.82
#############################
Logistic Regression: 54 different tests
Iteration,Max_Iter,Reg_Param,Elastic_Net_Param,Aggregation_Depth,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,0.1,0.8,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,3.033
2.1,50,0.1,0.8,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.805
3.1,50,0.1,0.8,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,1.786
4.1,50,0.1,1.0,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.665
5.1,50,0.1,1.0,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.8
6.1,50,0.1,1.0,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.007
7.1,50,0.1,1.2,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.715
8.1,50,0.1,1.2,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.821
9.1,50,0.1,1.2,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,1.693
10.1,50,0.3,0.8,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.643
11.1,50,0.3,0.8,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.778
12.1,50,0.3,0.8,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,1.628
13.1,50,0.3,1.0,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.541
14.1,50,0.3,1.0,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.616
15.1,50,0.3,1.0,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,1.632
16.1,50,0.3,1.2,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.696
17.1,50,0.3,1.2,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.723
18.1,50,0.3,1.2,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,1.64
19.1,50,0.5,0.8,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.635
20.1,50,0.5,0.8,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,1.635
21.1,50,0.5,0.8,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,1.618
22.1,50,0.5,1.0,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.672
23.1,50,0.5,1.0,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.054
24.1,50,0.5,1.0,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.162
25.1,50,0.5,1.2,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,2.035
26.1,50,0.5,1.2,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.181
27.1,50,0.5,1.2,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.099
28.1,100,0.1,0.8,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,2.054
29.1,100,0.1,0.8,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.038
30.1,100,0.1,0.8,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.133
31.1,100,0.1,1.0,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.982
32.1,100,0.1,1.0,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.115
33.1,100,0.1,1.0,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.097
34.1,100,0.1,1.2,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,2.079
35.1,100,0.1,1.2,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.074
36.1,100,0.1,1.2,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.095
37.1,100,0.3,0.8,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.942
38.1,100,0.3,0.8,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.101
39.1,100,0.3,0.8,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.051
40.1,100,0.3,1.0,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,2.016
41.1,100,0.3,1.0,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.107
42.1,100,0.3,1.0,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.097
43.1,100,0.3,1.2,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,2.113
44.1,100,0.3,1.2,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.041
45.1,100,0.3,1.2,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.004
46.1,100,0.5,0.8,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,2.058
47.1,100,0.5,0.8,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.015
48.1,100,0.5,0.8,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.322
49.1,100,0.5,1.0,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.988
50.1,100,0.5,1.0,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.09
51.1,100,0.5,1.0,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.06
52.1,100,0.5,1.2,2,1.0,0.4027,0.5973,0.0,0.3473,0.6417,1.985
53.1,100,0.5,1.2,3,1.0,0.1867,0.8133,0.0,0.1183,0.878,2.076
54.1,100,0.5,1.2,4,1.0,0.1818,0.8182,0.0,0.1145,0.8819,2.098
#############################
LinearSVC: 18 different tests
Iteration,Max_Iter,Reg_Param,Aggregation_Depth,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,0.1,2,1.0,0.351,0.649,0.0,0.2786,0.7126,30.194
2.1,50,0.1,3,1.0,0.351,0.649,0.0,0.2786,0.7126,30.199
3.1,50,0.1,4,1.0,0.351,0.649,0.0,0.2786,0.7126,29.701
4.1,50,0.3,2,1.0,0.351,0.649,0.0,0.2786,0.7126,30.879
5.1,50,0.3,3,1.0,0.351,0.649,0.0,0.2786,0.7126,30.338
6.1,50,0.3,4,1.0,0.351,0.649,0.0,0.2786,0.7126,30.363
7.1,50,0.5,2,1.0,0.351,0.649,0.0,0.2786,0.7126,30.047
8.1,50,0.5,3,1.0,0.351,0.649,0.0,0.2786,0.7126,30.213
9.1,50,0.5,4,1.0,0.351,0.649,0.0,0.2786,0.7126,30.501
10.1,100,0.1,2,1.0,0.351,0.649,0.0,0.2786,0.7126,30.198
11.1,100,0.1,3,1.0,0.351,0.649,0.0,0.2786,0.7126,30.178
12.1,100,0.1,4,1.0,0.351,0.649,0.0,0.2786,0.7126,29.948
13.1,100,0.3,2,1.0,0.351,0.649,0.0,0.2786,0.7126,31.121
14.1,100,0.3,3,1.0,0.351,0.649,0.0,0.2786,0.7126,29.898
15.1,100,0.3,4,1.0,0.351,0.649,0.0,0.2786,0.7126,30.526
16.1,100,0.5,2,1.0,0.351,0.649,0.0,0.2786,0.7126,29.977
17.1,100,0.5,3,1.0,0.351,0.649,0.0,0.2786,0.7126,30.636
18.1,100,0.5,4,1.0,0.351,0.649,0.0,0.2786,0.7126,30.544
#############################
