Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
11.10,entropy,5,64,0.898,0.0774,0.9226,0.102,0.0889,0.9111,0.679
12.1,entropy,5,128,0.947,0.1024,0.8976,0.053,0.0789,0.9214,0.559
12.2,entropy,5,128,0.9324,0.0884,0.9116,0.0676,0.078,0.9222,0.512
12.3,entropy,5,128,0.9371,0.1111,0.8889,0.0629,0.0885,0.9114,0.821
12.4,entropy,5,128,0.9426,0.1307,0.8693,0.0574,0.0982,0.9009,0.726
12.5,entropy,5,128,0.9528,0.1342,0.8658,0.0472,0.0942,0.9069,0.593
12.6,entropy,5,128,0.9333,0.1019,0.8981,0.0667,0.0856,0.9137,0.639
12.7,entropy,5,128,0.9247,0.0861,0.9139,0.0753,0.0808,0.9192,0.635
12.8,entropy,5,128,0.8769,0.1067,0.8933,0.1231,0.1143,0.8851,0.567
12.9,entropy,5,128,0.9014,0.1097,0.8903,0.0986,0.1044,0.8953,0.671
12.10,entropy,5,128,0.8919,0.0778,0.9222,0.1081,0.0921,0.9081,0.603
13.1,entropy,6,32,0.9477,0.0915,0.9085,0.0523,0.0726,0.9276,0.651
13.2,entropy,6,32,0.9205,0.0833,0.9167,0.0795,0.0814,0.9186,0.71
13.3,entropy,6,32,0.9448,0.0938,0.9062,0.0552,0.0754,0.9245,0.65
13.4,entropy,6,32,0.8984,0.1361,0.8639,0.1016,0.12,0.8795,0.569
13.5,entropy,6,32,0.9457,0.1293,0.8707,0.0543,0.0942,0.9067,0.553
13.6,entropy,6,32,0.9389,0.118,0.882,0.0611,0.0925,0.9064,0.672
13.7,entropy,6,32,0.9184,0.0867,0.9133,0.0816,0.0842,0.9158,0.588
13.8,entropy,6,32,0.875,0.0764,0.9236,0.125,0.1,0.901,0.515
13.9,entropy,6,32,0.9225,0.0903,0.9097,0.0775,0.0842,0.9155,0.729
13.10,entropy,6,32,0.8947,0.0552,0.9448,0.1053,0.0794,0.9219,0.691
14.1,entropy,6,64,0.9467,0.1078,0.8922,0.0533,0.082,0.9183,0.67
14.2,entropy,6,64,0.8974,0.0791,0.9209,0.1026,0.0915,0.908,0.615
14.3,entropy,6,64,0.9048,0.1203,0.8797,0.0952,0.1082,0.8917,0.731
14.4,entropy,6,64,0.9141,0.1224,0.8776,0.0859,0.1055,0.894,0.739
14.5,entropy,6,64,0.9248,0.1259,0.8741,0.0752,0.1014,0.8991,0.583
14.6,entropy,6,64,0.9275,0.0909,0.9091,0.0725,0.0822,0.9174,0.702
14.7,entropy,6,64,0.9231,0.1039,0.8961,0.0769,0.0909,0.909,0.718
14.8,entropy,6,64,0.8872,0.0816,0.9184,0.1128,0.0964,0.9038,0.613
14.9,entropy,6,64,0.9178,0.0728,0.9272,0.0822,0.0774,0.9226,0.615
14.10,entropy,6,64,0.8896,0.0497,0.9503,0.1104,0.0794,0.9224,0.582
15.1,entropy,6,128,0.947,0.1024,0.8976,0.053,0.0789,0.9214,0.62
15.2,entropy,6,128,0.9032,0.0786,0.9214,0.0968,0.0881,0.9115,0.695
15.3,entropy,6,128,0.9054,0.1146,0.8854,0.0946,0.1049,0.895,0.615
15.4,entropy,6,128,0.9134,0.1284,0.8716,0.0866,0.1091,0.8903,0.643
15.5,entropy,6,128,0.9528,0.1342,0.8658,0.0472,0.0942,0.9069,0.758
15.6,entropy,6,128,0.9333,0.1019,0.8981,0.0667,0.0856,0.9137,0.745
15.7,entropy,6,128,0.9306,0.0915,0.9085,0.0694,0.0808,0.9191,0.58
15.8,entropy,6,128,0.8686,0.0769,0.9231,0.1314,0.1036,0.8977,0.643
15.9,entropy,6,128,0.8966,0.0987,0.9013,0.1034,0.101,0.8989,0.756
15.10,entropy,6,128,0.8839,0.05,0.95,0.1161,0.0825,0.9195,0.84
16.1,entropy,7,32,0.9539,0.0909,0.9091,0.0461,0.0694,0.9308,0.73
16.2,entropy,7,32,0.9145,0.0839,0.9161,0.0855,0.0847,0.9151,0.576
16.3,entropy,7,32,0.9324,0.0892,0.9108,0.0676,0.0787,0.9213,0.747
16.4,entropy,7,32,0.8923,0.131,0.869,0.1077,0.12,0.8796,0.64
16.5,entropy,7,32,0.9528,0.1342,0.8658,0.0472,0.0942,0.9069,0.693
16.6,entropy,7,32,0.9609,0.1159,0.8841,0.0391,0.0822,0.9164,0.685
16.7,entropy,7,32,0.9133,0.0748,0.9252,0.0867,0.0808,0.9192,0.564
16.8,entropy,7,32,0.8815,0.0759,0.9241,0.1185,0.0964,0.9044,0.618
16.9,entropy,7,32,0.9155,0.0968,0.9032,0.0845,0.0909,0.9088,0.731
16.10,entropy,7,32,0.8831,0.0559,0.9441,0.1169,0.0857,0.916,0.597
17.1,entropy,7,64,0.9404,0.1084,0.8916,0.0596,0.0852,0.9151,0.804
17.2,entropy,7,64,0.8974,0.0791,0.9209,0.1026,0.0915,0.908,0.632
17.3,entropy,7,64,0.894,0.1104,0.8896,0.106,0.1082,0.8918,0.556
17.4,entropy,7,64,0.9077,0.1172,0.8828,0.0923,0.1055,0.8942,0.621
17.5,entropy,7,64,0.9242,0.1319,0.8681,0.0758,0.1051,0.8956,0.748
17.6,entropy,7,64,0.9203,0.0974,0.9026,0.0797,0.089,0.9105,0.567
17.7,entropy,7,64,0.911,0.0993,0.9007,0.089,0.0943,0.9057,0.609
17.8,entropy,7,64,0.8806,0.0822,0.9178,0.1194,0.1,0.9005,0.603
17.9,entropy,7,64,0.906,0.0676,0.9324,0.094,0.0808,0.9195,0.607
17.10,entropy,7,64,0.8882,0.0613,0.9387,0.1118,0.0857,0.9155,0.613
18.1,entropy,7,128,0.9,0.1019,0.8981,0.1,0.1009,0.899,0.656
18.2,entropy,7,128,0.9079,0.0909,0.9091,0.0921,0.0915,0.9083,0.959
18.3,entropy,7,128,0.894,0.1104,0.8896,0.106,0.1082,0.8918,0.632
18.4,entropy,7,128,0.8923,0.131,0.869,0.1077,0.12,0.8796,0.914
18.5,entropy,7,128,0.9485,0.0857,0.9143,0.0515,0.0688,0.9315,0.668
18.6,entropy,7,128,0.9333,0.1019,0.8981,0.0667,0.0856,0.9137,0.722
18.7,entropy,7,128,0.9013,0.0759,0.9241,0.0987,0.0875,0.9125,0.78
18.8,entropy,7,128,0.8613,0.0839,0.9161,0.1387,0.1107,0.8905,0.625
18.9,entropy,7,128,0.9097,0.0915,0.9085,0.0903,0.0909,0.909,0.782
18.10,entropy,7,128,0.8824,0.0617,0.9383,0.1176,0.0889,0.9126,0.904
#############################
Random_Forest MLLib: 36 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Num_Trees,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,100,0.9722,0.1156,0.8844,0.0278,0.0757,0.9248,1.106
1.2,gini,5,32,100,1.0,0.1111,0.8889,0.0,0.061,0.9404,0.916
1.3,gini,5,32,100,0.9783,0.1018,0.8982,0.0217,0.0656,0.9343,0.824
1.4,gini,5,32,100,0.9828,0.1321,0.8679,0.0172,0.0836,0.9151,0.811
1.5,gini,5,32,100,0.9754,0.1429,0.8571,0.0246,0.0906,0.9109,0.891
1.6,gini,5,32,100,0.984,0.1138,0.8862,0.016,0.0719,0.9264,0.818
1.7,gini,5,32,100,0.9848,0.1091,0.8909,0.0152,0.0673,0.9325,0.938
1.8,gini,5,32,100,0.9915,0.0802,0.9198,0.0085,0.05,0.9467,0.962
1.9,gini,5,32,100,0.9615,0.1198,0.8802,0.0385,0.0842,0.9146,0.808
1.10,gini,5,32,100,0.9706,0.0726,0.9274,0.0294,0.054,0.9434,1.077
2.1,gini,5,32,200,0.9722,0.1156,0.8844,0.0278,0.0757,0.9248,1.252
2.2,gini,5,32,200,0.9779,0.1132,0.8868,0.0221,0.0712,0.93,1.144
2.3,gini,5,32,200,0.971,0.1078,0.8922,0.029,0.0721,0.9277,1.402
2.4,gini,5,32,200,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,1.12
2.5,gini,5,32,200,0.9833,0.1474,0.8526,0.0167,0.0906,0.911,1.15
2.6,gini,5,32,200,0.9843,0.103,0.897,0.0157,0.0651,0.9335,1.395
2.7,gini,5,32,200,0.9699,0.1159,0.8841,0.0301,0.0774,0.9224,1.061
2.8,gini,5,32,200,1.0,0.0854,0.9146,0.0,0.05,0.9462,1.115
2.9,gini,5,32,200,0.9615,0.1198,0.8802,0.0385,0.0842,0.9146,1.032
2.10,gini,5,32,200,0.9706,0.0726,0.9274,0.0294,0.054,0.9434,1.119
3.1,gini,5,64,100,0.9724,0.1105,0.8895,0.0276,0.0726,0.9279,1.043
3.2,gini,5,64,100,0.9779,0.1132,0.8868,0.0221,0.0712,0.93,1.324
3.3,gini,5,64,100,0.9643,0.103,0.897,0.0357,0.0721,0.9277,1.056
3.4,gini,5,64,100,0.9741,0.1384,0.8616,0.0259,0.0909,0.9078,0.91
3.5,gini,5,64,100,0.9752,0.1484,0.8516,0.0248,0.0942,0.9073,1.086
3.6,gini,5,64,100,0.9919,0.1183,0.8817,0.0081,0.0719,0.9262,1.028
3.7,gini,5,64,100,0.9704,0.1049,0.8951,0.0296,0.0707,0.9291,0.97
3.8,gini,5,64,100,0.9914,0.0915,0.9085,0.0086,0.0571,0.939,1.03
3.9,gini,5,64,100,0.9466,0.1265,0.8735,0.0534,0.0943,0.9046,0.87
3.10,gini,5,64,100,0.9708,0.0674,0.9326,0.0292,0.0508,0.9469,1.045
4.1,gini,5,64,200,0.9724,0.1105,0.8895,0.0276,0.0726,0.9279,1.319
4.2,gini,5,64,200,0.9779,0.1132,0.8868,0.0221,0.0712,0.93,1.317
4.3,gini,5,64,200,0.9784,0.0964,0.9036,0.0216,0.0623,0.9376,1.284
4.4,gini,5,64,200,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,1.755
4.5,gini,5,64,200,0.9754,0.1429,0.8571,0.0246,0.0906,0.9109,1.291
4.6,gini,5,64,200,0.9919,0.1131,0.8869,0.0081,0.0685,0.9298,1.552
4.7,gini,5,64,200,0.9773,0.1152,0.8848,0.0227,0.0741,0.9257,1.182
4.8,gini,5,64,200,0.9915,0.0859,0.9141,0.0085,0.0536,0.9428,1.309
4.9,gini,5,64,200,0.9542,0.1205,0.8795,0.0458,0.0875,0.9113,1.354
4.10,gini,5,64,200,0.964,0.0625,0.9375,0.036,0.0508,0.9474,1.314
5.1,gini,5,128,100,0.9724,0.1105,0.8895,0.0276,0.0726,0.9279,1.07
5.2,gini,5,128,100,1.0,0.1111,0.8889,0.0,0.061,0.9404,1.219
5.3,gini,5,128,100,0.9784,0.0964,0.9036,0.0216,0.0623,0.9376,1.113
5.4,gini,5,128,100,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,1.213
5.5,gini,5,128,100,0.975,0.1538,0.8462,0.025,0.0978,0.9038,1.215
5.6,gini,5,128,100,0.9839,0.119,0.881,0.0161,0.0753,0.9229,1.234
5.7,gini,5,128,100,0.9847,0.1145,0.8855,0.0153,0.0707,0.9291,1.239
5.8,gini,5,128,100,0.9831,0.0864,0.9136,0.0169,0.0571,0.9395,1.149
5.9,gini,5,128,100,0.9542,0.1205,0.8795,0.0458,0.0875,0.9113,1.052
5.10,gini,5,128,100,0.9781,0.0618,0.9382,0.0219,0.0444,0.9532,1.21
6.1,gini,5,128,200,0.9726,0.1053,0.8947,0.0274,0.0694,0.931,1.598
6.2,gini,5,128,200,0.9781,0.1076,0.8924,0.0219,0.0678,0.9333,1.716
6.3,gini,5,128,200,0.9714,0.097,0.903,0.0286,0.0656,0.9343,1.81
6.4,gini,5,128,200,0.9744,0.1329,0.8671,0.0256,0.0873,0.9115,1.978
6.5,gini,5,128,200,0.9752,0.1484,0.8516,0.0248,0.0942,0.9073,1.647
6.6,gini,5,128,200,0.9919,0.1183,0.8817,0.0081,0.0719,0.9262,1.611
6.7,gini,5,128,200,0.9773,0.1152,0.8848,0.0227,0.0741,0.9257,1.719
6.8,gini,5,128,200,1.0,0.0854,0.9146,0.0,0.05,0.9462,1.868
6.9,gini,5,128,200,0.969,0.119,0.881,0.031,0.0808,0.9179,1.601
6.10,gini,5,128,200,0.964,0.0625,0.9375,0.036,0.0508,0.9474,1.669
7.1,gini,6,32,100,0.9722,0.1156,0.8844,0.0278,0.0757,0.9248,0.938
7.2,gini,6,32,100,0.9781,0.1076,0.8924,0.0219,0.0678,0.9333,0.913
7.3,gini,6,32,100,0.9714,0.097,0.903,0.0286,0.0656,0.9343,0.915
7.4,gini,6,32,100,0.9748,0.1218,0.8782,0.0252,0.08,0.9189,0.922
7.5,gini,6,32,100,0.9754,0.1429,0.8571,0.0246,0.0906,0.9109,0.933
7.6,gini,6,32,100,0.9762,0.1145,0.8855,0.0238,0.0753,0.9231,1.003
7.7,gini,6,32,100,0.9773,0.1152,0.8848,0.0227,0.0741,0.9257,0.912
7.8,gini,6,32,100,1.0,0.0798,0.9202,0.0,0.0464,0.95,1.074
7.9,gini,6,32,100,0.9474,0.1159,0.8841,0.0526,0.0875,0.9115,0.907
7.10,gini,6,32,100,0.9638,0.0678,0.9322,0.0362,0.054,0.9439,0.983
8.1,gini,6,32,200,0.9793,0.1047,0.8953,0.0207,0.0662,0.9342,1.385
8.2,gini,6,32,200,0.9779,0.1132,0.8868,0.0221,0.0712,0.93,1.62
8.3,gini,6,32,200,0.9716,0.0915,0.9085,0.0284,0.0623,0.9376,1.295
8.4,gini,6,32,200,0.9748,0.1218,0.8782,0.0252,0.08,0.9189,1.299
8.5,gini,6,32,200,0.9754,0.1429,0.8571,0.0246,0.0906,0.9109,1.474
8.6,gini,6,32,200,0.9844,0.0976,0.9024,0.0156,0.0616,0.937,1.292
8.7,gini,6,32,200,0.9848,0.1091,0.8909,0.0152,0.0673,0.9325,1.413
8.8,gini,6,32,200,0.9915,0.0802,0.9198,0.0085,0.05,0.9467,1.373
8.9,gini,6,32,200,0.9688,0.1243,0.8757,0.0312,0.0842,0.9144,1.214
8.10,gini,6,32,200,0.964,0.0625,0.9375,0.036,0.0508,0.9474,1.312
9.1,gini,6,64,100,0.9726,0.1053,0.8947,0.0274,0.0694,0.931,1.133
9.2,gini,6,64,100,0.971,0.1083,0.8917,0.029,0.0712,0.9298,1.076
9.3,gini,6,64,100,0.9718,0.0859,0.9141,0.0282,0.059,0.9409,1.225
9.4,gini,6,64,100,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,1.154
9.5,gini,6,64,100,0.975,0.1538,0.8462,0.025,0.0978,0.9038,1.057
9.6,gini,6,64,100,0.9762,0.1145,0.8855,0.0238,0.0753,0.9231,1.174
9.7,gini,6,64,100,0.9778,0.0988,0.9012,0.0222,0.064,0.9359,0.98
9.8,gini,6,64,100,0.9915,0.0802,0.9198,0.0085,0.05,0.9467,1.222
9.9,gini,6,64,100,0.9612,0.125,0.875,0.0388,0.0875,0.9111,1.017
9.10,gini,6,64,100,0.964,0.0625,0.9375,0.036,0.0508,0.9474,1.036
10.1,gini,6,64,200,0.9724,0.1105,0.8895,0.0276,0.0726,0.9279,1.626
10.2,gini,6,64,200,0.9708,0.1139,0.8861,0.0292,0.0746,0.9265,1.566
10.3,gini,6,64,200,0.9784,0.0964,0.9036,0.0216,0.0623,0.9376,1.658
10.4,gini,6,64,200,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,1.659
10.5,gini,6,64,200,0.9752,0.1484,0.8516,0.0248,0.0942,0.9073,1.608
10.6,gini,6,64,200,0.9919,0.1131,0.8869,0.0081,0.0685,0.9298,1.508
10.7,gini,6,64,200,0.9779,0.0932,0.9068,0.0221,0.0606,0.9393,1.752
10.8,gini,6,64,200,1.0,0.0854,0.9146,0.0,0.05,0.9462,1.567
10.9,gini,6,64,200,0.9692,0.1138,0.8862,0.0308,0.0774,0.9213,1.658
10.10,gini,6,64,200,0.9779,0.067,0.933,0.0221,0.0476,0.9498,1.571
11.1,gini,6,128,100,0.9793,0.1047,0.8953,0.0207,0.0662,0.9342,1.283
11.2,gini,6,128,100,0.9781,0.1076,0.8924,0.0219,0.0678,0.9333,1.314
11.3,gini,6,128,100,0.9643,0.103,0.897,0.0357,0.0721,0.9277,1.259
11.4,gini,6,128,100,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,1.414
11.5,gini,6,128,100,0.9752,0.1484,0.8516,0.0248,0.0942,0.9073,1.311
11.6,gini,6,128,100,0.9846,0.0864,0.9136,0.0154,0.0548,0.944,1.298
11.7,gini,6,128,100,0.9778,0.0988,0.9012,0.0222,0.064,0.9359,1.277
11.8,gini,6,128,100,1.0,0.0798,0.9202,0.0,0.0464,0.95,1.354
11.9,gini,6,128,100,0.9627,0.0982,0.9018,0.0373,0.0707,0.9284,1.354
11.10,gini,6,128,100,0.9638,0.0678,0.9322,0.0362,0.054,0.9439,1.281
12.1,gini,6,128,200,0.9728,0.1,0.9,0.0272,0.0662,0.9341,2.102
12.2,gini,6,128,200,0.971,0.1083,0.8917,0.029,0.0712,0.9298,2.234
12.3,gini,6,128,200,0.9714,0.097,0.903,0.0286,0.0656,0.9343,2.21
12.4,gini,6,128,200,0.9746,0.1274,0.8726,0.0254,0.0836,0.9152,2.093
12.5,gini,6,128,200,0.9752,0.1484,0.8516,0.0248,0.0942,0.9073,2.254
12.6,gini,6,128,200,0.9841,0.1084,0.8916,0.0159,0.0685,0.93,2.025
12.7,gini,6,128,200,0.9778,0.0988,0.9012,0.0222,0.064,0.9359,2.1
12.8,gini,6,128,200,0.9915,0.0802,0.9198,0.0085,0.05,0.9467,2.106
12.9,gini,6,128,200,0.9549,0.1098,0.8902,0.0451,0.0808,0.9182,1.988
12.10,gini,6,128,200,0.9571,0.0629,0.9371,0.0429,0.054,0.9444,2.068
